,batch_size,optimizer,hook_function,test_MSE,test_MAE
43,600,SMORMS3,GradientLARS,265.5831604003906,12.265212059020996
44,600,AMSGrad,WeightDecay,247.24215698242188,11.889487266540527
45,600,AMSGrad,Lasso,244.6822967529297,11.965385437011719
46,600,AMSGrad,GradientHardClipping,241.33651733398438,11.680669784545898
47,600,AMSGrad,GradientLARS,241.82041931152344,11.6652193069458
48,600,AdaBound,WeightDecay,159.98316955566406,8.919882774353027
49,600,AdaBound,Lasso,154.18292236328125,8.580670356750488
50,600,AdaBound,GradientHardClipping,173.41847229003906,9.436361312866211
51,600,AdaBound,GradientLARS,241.7102508544922,11.739885330200195
52,600,AMSBound,WeightDecay,141.45689392089844,8.320323944091797
53,600,AMSBound,Lasso,156.78045654296875,8.856696128845215
54,600,AMSBound,GradientHardClipping,216.79989624023438,10.51501750946045
55,600,AMSBound,GradientLARS,247.2957000732422,11.767106056213379
56,1000,AdaDelta,WeightDecay,260.7510986328125,11.545467376708984
57,1000,AdaDelta,Lasso,206.4051513671875,10.486189842224121
58,1000,AdaDelta,GradientHardClipping,200.02017211914062,10.28723430633545
59,1000,AdaDelta,GradientLARS,237.350830078125,11.535187721252441
60,1000,Adam,WeightDecay,259.0066223144531,12.345025062561035
61,1000,Adam,Lasso,243.61183166503906,11.753643035888672
62,1000,Adam,GradientHardClipping,291.37396240234375,12.720942497253418
63,1000,Adam,GradientLARS,260.917724609375,12.022757530212402
64,1000,RMSpropGraves,WeightDecay,238.5955352783203,11.470144271850586
65,1000,RMSpropGraves,Lasso,239.208251953125,11.295830726623535
66,1000,RMSpropGraves,GradientHardClipping,239.00149536132812,11.361973762512207
67,1000,RMSpropGraves,GradientLARS,246.1172637939453,11.684995651245117
68,1000,SMORMS3,WeightDecay,235.42054748535156,11.698466300964355
69,1000,SMORMS3,Lasso,234.32240295410156,11.539365768432617
70,1000,SMORMS3,GradientHardClipping,239.31591796875,11.449640274047852
71,1000,SMORMS3,GradientLARS,239.91876220703125,11.842970848083496
72,1000,AMSGrad,WeightDecay,246.30654907226562,11.856029510498047
73,1000,AMSGrad,Lasso,249.3732452392578,12.127152442932129
74,1000,AMSGrad,GradientHardClipping,249.453125,11.867600440979004
75,1000,AMSGrad,GradientLARS,232.31076049804688,11.424912452697754
76,1000,AdaBound,WeightDecay,194.632080078125,9.99187183380127
77,1000,AdaBound,Lasso,165.88404846191406,9.437812805175781
78,1000,AdaBound,GradientHardClipping,336.3351135253906,12.868584632873535
79,1000,AdaBound,GradientLARS,231.72793579101562,11.340442657470703
80,1000,AMSBound,WeightDecay,182.28915405273438,9.768579483032227
81,1000,AMSBound,Lasso,178.94508361816406,9.482426643371582
82,1000,AMSBound,GradientHardClipping,235.64950561523438,11.222587585449219
83,1000,AMSBound,GradientLARS,220.88552856445312,11.190743446350098
