black_method,white_method,black_score,white_score,black_read_goal,white_read_goal,seed
random,nHandCustom,18,46,1,2,32
random,nHandCustom,33,31,1,2,33
random,nHandCustom,23,41,1,2,34
random,nHandCustom,28,36,1,2,35
random,nHandCustom,23,41,1,2,36
random,nHandCustom,26,38,1,2,37
random,nHandCustom,18,46,1,2,38
random,nHandCustom,21,43,1,2,39
random,nHandCustom,29,35,1,2,40
random,nHandCustom,19,45,1,2,41
random,nHandCustom,24,40,1,2,42
random,nHandCustom,28,36,1,2,43
random,nHandCustom,20,44,1,2,44
random,nHandCustom,22,42,1,2,45
random,nHandCustom,36,28,1,2,46
random,nHandCustom,17,47,1,2,47
random,nHandCustom,29,35,1,2,48
random,nHandCustom,41,23,1,2,49
random,nHandCustom,19,45,1,2,50
random,nHandCustom,35,29,1,2,51
random,nHandCustom,21,43,1,2,52
random,nHandCustom,18,46,1,2,53
random,nHandCustom,18,46,1,2,54
random,nHandCustom,29,35,1,2,55
random,nHandCustom,34,30,1,2,56
random,nHandCustom,34,30,1,2,57
random,nHandCustom,26,38,1,2,58
random,nHandCustom,21,43,1,2,59
random,nHandCustom,25,39,1,2,60
random,nHandCustom,22,42,1,2,61
random,nHandCustom,17,47,1,2,62
random,nHandCustom,26,38,1,2,63
random,nHandCustom,17,47,1,2,64
random,nHandCustom,27,37,1,2,65
random,nHandCustom,33,31,1,2,66
random,nHandCustom,24,40,1,2,67
random,nHandCustom,32,32,1,2,68
random,nHandCustom,21,43,1,2,69
random,nHandCustom,22,42,1,2,70
random,nHandCustom,21,43,1,2,71
random,nHandCustom,19,45,1,2,72
random,nHandCustom,26,38,1,2,73
random,nHandCustom,21,43,1,2,74
random,nHandCustom,30,34,1,2,75
random,nHandCustom,18,46,1,2,76
random,nHandCustom,23,41,1,2,77
random,nHandCustom,19,45,1,2,78
random,nHandCustom,40,24,1,2,79
random,nHandCustom,21,43,1,2,80
random,nHandCustom,28,36,1,2,81
random,nHandCustom,24,40,1,2,82
random,nHandCustom,15,49,1,2,83
random,nHandCustom,18,46,1,2,84
random,nHandCustom,15,49,1,2,85
random,nHandCustom,25,39,1,2,86
random,nHandCustom,32,32,1,2,87
random,nHandCustom,26,38,1,2,88
random,nHandCustom,25,39,1,2,89
random,nHandCustom,31,33,1,2,90
random,nHandCustom,23,41,1,2,91
random,nHandCustom,25,39,1,2,92
random,nHandCustom,45,19,1,2,93
random,nHandCustom,36,28,1,2,94
random,nHandCustom,27,37,1,2,95
random,nHandCustom,17,47,1,2,96
random,nHandCustom,28,36,1,2,97
random,nHandCustom,20,44,1,2,98
random,nHandCustom,42,22,1,2,99
random,nLeast,41,23,1,1,0
random,nLeast,20,44,1,1,1
random,nLeast,12,52,1,1,2
random,nLeast,16,48,1,1,3
random,nLeast,22,42,1,1,4
random,nLeast,43,21,1,1,5
random,nLeast,19,45,1,1,6
random,nLeast,6,58,1,1,7
random,nLeast,55,9,1,1,8
random,nLeast,45,19,1,1,9
random,nLeast,39,25,1,1,10
random,nLeast,7,54,1,1,11
random,nLeast,19,45,1,1,12
random,nLeast,27,37,1,1,13
random,nLeast,42,22,1,1,14
random,nLeast,49,15,1,1,15
random,nLeast,5,58,1,1,16
random,nLeast,21,43,1,1,17
random,nLeast,21,43,1,1,18
random,nLeast,23,41,1,1,19
random,nLeast,38,26,1,1,20
random,nLeast,43,21,1,1,21
random,nLeast,36,28,1,1,22
random,nLeast,13,51,1,1,23
random,nLeast,25,39,1,1,24
random,nLeast,26,38,1,1,25
random,nLeast,48,16,1,1,26
random,nLeast,49,15,1,1,27
random,nLeast,50,14,1,1,28
random,nLeast,53,11,1,1,29
random,nLeast,42,22,1,1,30
random,nLeast,6,58,1,1,31
random,nLeast,4,53,1,1,32
random,nLeast,24,40,1,1,33
random,nLeast,37,27,1,1,34
random,nLeast,4,53,1,1,35
random,nLeast,44,20,1,1,36
random,nLeast,22,41,1,1,37
random,nLeast,51,13,1,1,38
random,nLeast,33,31,1,1,39
random,nLeast,7,57,1,1,40
random,nLeast,36,28,1,1,41
random,nLeast,24,40,1,1,42
random,nLeast,32,32,1,1,43
random,nLeast,49,15,1,1,44
random,nLeast,37,27,1,1,45
random,nLeast,17,47,1,1,46
random,nLeast,45,19,1,1,47
random,nLeast,15,49,1,1,48
random,nLeast,42,22,1,1,49
random,nLeast,46,18,1,1,50
random,nLeast,16,48,1,1,51
random,nLeast,17,47,1,1,52
random,nLeast,0,46,1,1,53
random,nLeast,16,48,1,1,54
random,nLeast,8,56,1,1,55
random,nLeast,8,47,1,1,56
random,nLeast,15,49,1,1,57
random,nLeast,35,29,1,1,58
random,nLeast,0,50,1,1,59
random,nLeast,24,40,1,1,60
random,nLeast,23,41,1,1,61
random,nLeast,13,50,1,1,62
random,nLeast,24,40,1,1,63
random,nLeast,45,18,1,1,64
random,nLeast,16,48,1,1,65
random,nLeast,41,23,1,1,66
random,nLeast,33,31,1,1,67
random,nLeast,4,51,1,1,68
random,nLeast,10,54,1,1,69
random,nLeast,40,24,1,1,70
random,nLeast,22,42,1,1,71
random,nLeast,46,18,1,1,72
random,nLeast,16,48,1,1,73
random,nLeast,43,21,1,1,74
random,nLeast,4,55,1,1,75
random,nLeast,35,29,1,1,76
random,nLeast,0,56,1,1,77
random,nLeast,41,23,1,1,78
random,nLeast,45,19,1,1,79
random,nLeast,1,60,1,1,80
random,nLeast,33,31,1,1,81
random,nLeast,44,20,1,1,82
random,nLeast,37,27,1,1,83
random,nLeast,49,15,1,1,84
random,nLeast,17,47,1,1,85
random,nLeast,0,56,1,1,86
random,nLeast,29,35,1,1,87
random,nLeast,56,6,1,1,88
random,nLeast,32,32,1,1,89
random,nLeast,25,38,1,1,90
random,nLeast,10,54,1,1,91
random,nLeast,44,20,1,1,92
random,nLeast,45,19,1,1,93
random,nLeast,0,45,1,1,94
random,nLeast,23,41,1,1,95
random,nLeast,0,46,1,1,96
random,nLeast,24,40,1,1,97
random,nLeast,49,15,1,1,98
random,nLeast,32,32,1,1,99
random,nLeast,41,23,1,2,0
random,nLeast,20,44,1,2,1
random,nLeast,14,50,1,2,2
random,nLeast,16,48,1,2,3
random,nLeast,22,42,1,2,4
random,nLeast,48,16,1,2,5
random,nLeast,19,45,1,2,6
random,nLeast,8,56,1,2,7
random,nLeast,55,9,1,2,8
random,nLeast,45,19,1,2,9
random,nLeast,39,25,1,2,10
random,nLeast,11,53,1,2,11
random,nLeast,19,45,1,2,12
random,nLeast,27,37,1,2,13
random,nLeast,43,21,1,2,14
random,nLeast,49,15,1,2,15
random,nLeast,5,58,1,2,16
random,nLeast,21,43,1,2,17
random,nLeast,21,43,1,2,18
random,nLeast,23,41,1,2,19
random,nLeast,38,26,1,2,20
random,nLeast,43,21,1,2,21
random,nLeast,39,25,1,2,22
random,nLeast,13,51,1,2,23
random,nLeast,18,46,1,2,24
random,nLeast,30,34,1,2,25
random,nLeast,43,21,1,2,26
random,nLeast,49,15,1,2,27
random,nLeast,50,14,1,2,28
random,nLeast,52,11,1,2,29
random,nLeast,42,22,1,2,30
random,nLeast,6,58,1,2,31
random,nLeast,4,53,1,2,32
random,nLeast,24,40,1,2,33
random,nLeast,37,27,1,2,34
random,nLeast,8,55,1,2,35
random,nLeast,45,19,1,2,36
random,nLeast,20,44,1,2,37
random,nLeast,51,13,1,2,38
random,nLeast,34,30,1,2,39
random,nLeast,41,23,1,2,40
random,nLeast,36,28,1,2,41
random,nLeast,31,33,1,2,42
random,nLeast,32,32,1,2,43
random,nLeast,49,15,1,2,44
random,nLeast,26,37,1,2,45
random,nLeast,17,47,1,2,46
random,nLeast,45,19,1,2,47
random,nLeast,15,49,1,2,48
random,nLeast,42,22,1,2,49
random,nLeast,46,18,1,2,50
random,nLeast,13,51,1,2,51
random,nLeast,17,47,1,2,52
random,nLeast,0,46,1,2,53
random,nLeast,23,41,1,2,54
random,nLeast,9,55,1,2,55
random,nLeast,8,50,1,2,56
random,nLeast,16,48,1,2,57
random,nLeast,35,29,1,2,58
random,nLeast,0,50,1,2,59
random,nLeast,24,40,1,2,60
random,nLeast,24,40,1,2,61
random,nLeast,13,51,1,2,62
random,nLeast,20,44,1,2,63
random,nLeast,45,18,1,2,64
