,batch_size,num_of_layer,lr,lower_bound,upper_bound,MSE_test,MAE_test
114,200,3,0.025,-5,5,variable(86.6725),variable(5.817821)
115,200,3,0.3,-1,1,variable(84.5645),variable(6.150049)
116,200,3,0.3,-2,2,variable(81.35503),variable(5.9689994)
117,200,3,0.3,-3,3,variable(78.67409),variable(5.798083)
118,200,3,0.3,-4,4,variable(89.54586),variable(6.009642)
119,200,3,0.3,-5,5,variable(81.1816),variable(5.7389035)
120,200,4,0.01,-1,1,variable(86.67138),variable(5.2195225)
121,200,4,0.01,-2,2,variable(73.69099),variable(5.01772)
122,200,4,0.01,-3,3,variable(67.88547),variable(4.786236)
123,200,4,0.01,-4,4,variable(79.28458),variable(4.774494)
124,200,4,0.01,-5,5,variable(95.66731),variable(5.3723154)
125,200,4,0.025,-1,1,variable(74.93472),variable(4.946297)
126,200,4,0.025,-2,2,variable(82.048),variable(5.4193106)
127,200,4,0.025,-3,3,variable(78.689804),variable(4.889949)
128,200,4,0.025,-4,4,variable(81.38412),variable(5.0803385)
129,200,4,0.025,-5,5,variable(82.41659),variable(5.470526)
130,200,4,0.3,-1,1,variable(72.86908),variable(4.785459)
131,200,4,0.3,-2,2,variable(81.549194),variable(5.0379004)
132,200,4,0.3,-3,3,variable(69.200935),variable(4.8850923)
133,200,4,0.3,-4,4,variable(90.938576),variable(5.5610733)
134,200,4,0.3,-5,5,variable(82.20547),variable(5.22958)
