,batch_size,multi,optimizer,bound,test_MSE,test_MAE
128,250,2.5,Adam,1,variable(196.07355),variable(8.875694)
129,250,2.5,Adam,2,variable(203.94113),variable(9.266903)
130,250,2.5,Adam,3,variable(190.9434),variable(9.107243)
131,250,2.5,Adam,4,variable(193.98402),variable(9.163772)
132,250,2.5,RMSpropGraves,1,variable(219.44258),variable(9.993529)
133,250,2.5,RMSpropGraves,2,variable(215.9049),variable(9.65086)
134,250,2.5,RMSpropGraves,3,variable(183.81682),variable(8.679351)
135,250,2.5,RMSpropGraves,4,variable(208.2143),variable(9.206074)
136,250,2.5,SMORMS3,1,variable(236.69623),variable(9.793634)
137,250,2.5,SMORMS3,2,variable(210.37956),variable(8.860499)
138,250,2.5,SMORMS3,3,variable(227.72362),variable(10.112378)
139,250,2.5,SMORMS3,4,variable(206.61044),variable(9.1476345)
140,250,2.5,AMSGrad,1,variable(259.09003),variable(10.483476)
141,250,2.5,AMSGrad,2,variable(234.45059),variable(10.360168)
142,250,2.5,AMSGrad,3,variable(245.66504),variable(10.185495)
143,250,2.5,AMSGrad,4,variable(217.30086),variable(9.43567)
