black,white,srand_num,black_score,white_score
corner_mi3+_out,corner_mi3+x8,616,16,48
corner_mi3+_out,corner_mi3+x8,617,33,31
corner_mi3+_out,corner_mi3+x8,618,47,17
corner_mi3+_out,corner_mi3+x8,619,28,36
corner_mi3+_out,corner_mi3+x8,620,31,33
corner_mi3+_out,corner_mi3+x8,621,28,36
corner_mi3+_out,corner_mi3+x8,622,32,32
corner_mi3+_out,corner_mi3+x8,623,16,48
corner_mi3+_out,corner_mi3+x8,624,26,38
corner_mi3+_out,corner_mi3+x8,625,52,12
corner_mi3+_out,corner_mi3+x8,626,23,41
corner_mi3+_out,corner_mi3+x8,627,25,39
corner_mi3+_out,corner_mi3+x8,628,28,36
corner_mi3+_out,corner_mi3+x8,629,28,36
corner_mi3+_out,corner_mi3+x8,630,44,20
corner_mi3+_out,corner_mi3+x8,631,31,33
corner_mi3+_out,corner_mi3+x8,632,34,30
corner_mi3+_out,corner_mi3+x8,633,35,29
corner_mi3+_out,corner_mi3+x8,634,26,38
corner_mi3+_out,corner_mi3+x8,635,20,44
corner_mi3+x8,corner_mi3+_in,81,23,41
corner_mi3+x8,corner_mi3+_in,82,44,18
corner_mi3+x8,corner_mi3+_in,83,18,46
corner_mi3+x8,corner_mi3+_in,84,27,37
corner_mi3+x8,corner_mi3+_in,85,36,28
corner_mi3+x8,corner_mi3+_in,86,26,38
corner_mi3+x8,corner_mi3+_in,87,27,37
corner_mi3+x8,corner_mi3+_in,88,21,43
corner_mi3+x8,corner_mi3+_in,89,41,23
corner_mi3+x8,corner_mi3+_in,90,32,32
corner_mi3+x8,corner_mi3+_in,91,49,15
corner_mi3+x8,corner_mi3+_in,92,16,48
corner_mi3+x8,corner_mi3+_in,93,35,29
corner_mi3+x8,corner_mi3+_in,94,30,34
corner_mi3+x8,corner_mi3+_in,95,23,41
corner_mi3+x8,corner_mi3+_in,96,32,32
corner_mi3+x8,corner_mi3+_in,97,32,32
corner_mi3+x8,corner_mi3+_in,98,43,21
corner_mi3+x8,corner_mi3+_in,99,16,48
corner_mi3+x8,corner_mi3+_in,100,45,19
corner_mi3+x8,corner_mi3+_in,616,29,35
corner_mi3+x8,corner_mi3+_in,617,30,34
corner_mi3+x8,corner_mi3+_in,618,39,25
corner_mi3+x8,corner_mi3+_in,619,33,31
corner_mi3+x8,corner_mi3+_in,620,34,30
corner_mi3+x8,corner_mi3+_in,621,42,22
corner_mi3+x8,corner_mi3+_in,622,49,15
corner_mi3+x8,corner_mi3+_in,623,44,20
corner_mi3+x8,corner_mi3+_in,624,43,21
corner_mi3+x8,corner_mi3+_in,625,44,20
corner_mi3+x8,corner_mi3+_in,626,19,45
corner_mi3+x8,corner_mi3+_in,627,30,34
corner_mi3+x8,corner_mi3+_in,628,33,31
corner_mi3+x8,corner_mi3+_in,629,22,42
corner_mi3+x8,corner_mi3+_in,630,16,48
corner_mi3+x8,corner_mi3+_in,631,23,41
corner_mi3+x8,corner_mi3+_in,632,44,20
corner_mi3+x8,corner_mi3+_in,633,46,18
corner_mi3+x8,corner_mi3+_in,634,18,46
corner_mi3+x8,corner_mi3+_in,635,40,24
corner_mi3+x8,corner_mi3+_out,81,17,47
corner_mi3+x8,corner_mi3+_out,82,33,31
corner_mi3+x8,corner_mi3+_out,83,19,45
corner_mi3+x8,corner_mi3+_out,84,39,25
corner_mi3+x8,corner_mi3+_out,85,36,28
corner_mi3+x8,corner_mi3+_out,86,21,43
corner_mi3+x8,corner_mi3+_out,87,30,34
corner_mi3+x8,corner_mi3+_out,88,18,46
corner_mi3+x8,corner_mi3+_out,89,11,53
corner_mi3+x8,corner_mi3+_out,90,7,56
corner_mi3+x8,corner_mi3+_out,91,39,25
corner_mi3+x8,corner_mi3+_out,92,22,42
corner_mi3+x8,corner_mi3+_out,93,19,45
corner_mi3+x8,corner_mi3+_out,94,23,41
corner_mi3+x8,corner_mi3+_out,95,32,32
corner_mi3+x8,corner_mi3+_out,96,15,49
corner_mi3+x8,corner_mi3+_out,97,48,16
corner_mi3+x8,corner_mi3+_out,98,22,42
corner_mi3+x8,corner_mi3+_out,99,36,28
corner_mi3+x8,corner_mi3+_out,100,34,30
corner_mi3+x8,corner_mi3+_out,616,34,30
corner_mi3+x8,corner_mi3+_out,617,36,28
corner_mi3+x8,corner_mi3+_out,618,19,45
corner_mi3+x8,corner_mi3+_out,619,20,44
corner_mi3+x8,corner_mi3+_out,620,45,19
corner_mi3+x8,corner_mi3+_out,621,31,33
corner_mi3+x8,corner_mi3+_out,622,38,26
corner_mi3+x8,corner_mi3+_out,623,34,30
corner_mi3+x8,corner_mi3+_out,624,37,27
corner_mi3+x8,corner_mi3+_out,625,35,27
corner_mi3+x8,corner_mi3+_out,626,28,36
corner_mi3+x8,corner_mi3+_out,627,42,22
corner_mi3+x8,corner_mi3+_out,628,26,38
corner_mi3+x8,corner_mi3+_out,629,41,23
corner_mi3+x8,corner_mi3+_out,630,17,47
corner_mi3+x8,corner_mi3+_out,631,27,37
corner_mi3+x8,corner_mi3+_out,632,19,45
corner_mi3+x8,corner_mi3+_out,633,23,40
corner_mi3+x8,corner_mi3+_out,634,33,31
corner_mi3+x8,corner_mi3+_out,635,18,46
corner_mi3+x8,corner_mi3+x8,81,23,41
corner_mi3+x8,corner_mi3+x8,82,45,19
corner_mi3+x8,corner_mi3+x8,83,26,38
corner_mi3+x8,corner_mi3+x8,84,37,27
corner_mi3+x8,corner_mi3+x8,85,14,50
corner_mi3+x8,corner_mi3+x8,86,37,27
corner_mi3+x8,corner_mi3+x8,87,47,17
corner_mi3+x8,corner_mi3+x8,88,26,38
corner_mi3+x8,corner_mi3+x8,89,25,39
corner_mi3+x8,corner_mi3+x8,90,26,38
corner_mi3+x8,corner_mi3+x8,91,45,19
corner_mi3+x8,corner_mi3+x8,92,32,31
corner_mi3+x8,corner_mi3+x8,93,44,20
corner_mi3+x8,corner_mi3+x8,94,27,37
corner_mi3+x8,corner_mi3+x8,95,38,26
corner_mi3+x8,corner_mi3+x8,96,14,50
corner_mi3+x8,corner_mi3+x8,97,15,49
corner_mi3+x8,corner_mi3+x8,98,31,33
corner_mi3+x8,corner_mi3+x8,99,29,35
corner_mi3+x8,corner_mi3+x8,100,31,32
corner_mi3+x8,corner_mi3+x8,616,40,24
corner_mi3+x8,corner_mi3+x8,617,46,18
corner_mi3+x8,corner_mi3+x8,618,32,32
corner_mi3+x8,corner_mi3+x8,619,27,37
corner_mi3+x8,corner_mi3+x8,620,33,31
corner_mi3+x8,corner_mi3+x8,621,18,46
corner_mi3+x8,corner_mi3+x8,622,39,25
corner_mi3+x8,corner_mi3+x8,623,32,31
corner_mi3+x8,corner_mi3+x8,624,46,18
corner_mi3+x8,corner_mi3+x8,625,26,38
corner_mi3+x8,corner_mi3+x8,626,41,23
corner_mi3+x8,corner_mi3+x8,627,37,27
corner_mi3+x8,corner_mi3+x8,628,18,46
corner_mi3+x8,corner_mi3+x8,629,35,29
corner_mi3+x8,corner_mi3+x8,630,32,32
corner_mi3+x8,corner_mi3+x8,631,37,27
corner_mi3+x8,corner_mi3+x8,632,29,35
corner_mi3+x8,corner_mi3+x8,633,35,29
corner_mi3+x8,corner_mi3+x8,634,19,45
corner_mi3+x8,corner_mi3+x8,635,31,32
